,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.1769000000000005e+30,1189647000.0,196.971799550325
2,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
3,Fomalhaut,25,3.7791e+30,1252260000.0,160.8368539423427
4,Procyon,11.4,2.9835000000000004e+30,1321830000.0,113.9622554541166
5,Altair,17,3.5802e+30,1252260000.0,152.37175636642996
6,Fomalhaut,25,3.7791e+30,1252260000.0,160.8368539423427
7,Regulus,77,7.558199999999999e+30,2156670000.0,108.45190567600218
8,Castor,52,5.569200000000001e+30,1669680000.0,133.3252868206262
9,2MASS J03264225-2102057 [de],80,3.4176159576e+28,92939884.83,264.0615700747245
10,Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
11,Delta Pavonis,19.92,1.971099e+30,848754000.0,182.61269753187165
12,Titawin,44.25,2.5260300000000002e+30,1029636000.0,159.02202111653529
13,54 Piscium,36.1,1.5116400000000002e+30,653958000.0,235.9037604224493
14,WISE 0855−0714,7.27,5.967e+27,59830199.99999999,111.25033590842646
15,2MASSW J0045214+163445,57,4.3669537236e+28,115817394.942,217.2787267524544
16,WISEP J004701.06+680352.1 [fr],40,2.2784106384e+28,92939884.83,176.041046716483
17,2MASS J03264225-2102057 [de],80,3.4176159576e+28,92939884.83,264.0615700747245
18,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.5781383444831
19,2MASS J04433764+0002040,82,4.1770861704e+28,127256149.998,172.14803783504922
20,2MASS J05012406-0010452 [de],64,3.987218617199999e+28,98659262.358,273.38867657214803
21,WISEP J004701.06+680352.1 [fr],40,2.2784106384e+28,92939884.83,176.041046716483
22,LSR 0602+3910 [de],34.6,5.3162914896e+28,100804028.931,349.1718362013974
23,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
24,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
25,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
26,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
27,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
28,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
29,Regulus,77,7.558199999999999e+30,2156670000.0,108.45190567600218
30,WISE 0410+1502,20,1.1392053192e+28,83645896.347,108.6673127879525
31,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
32,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
33,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
34,SDSS J111010.01+011613.1,63,1.7088079788e+28,88650351.684,145.11708292998327
35,DENIS-P J142527.97-365023.4 [de],38,3.987218617199999e+28,94369729.212,298.80704526170723
36,DENIS-P J142527.97-365023.4 [de],38,3.987218617199999e+28,94369729.212,298.80704526170723
37,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
38,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
39,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.931,336.7014134799189
40,2MASS J03264225-2102057 [de],80,3.4176159576e+28,92939884.83,264.0615700747245
41,2MASSW J2206450-421721,93,4.1770861704e+28,95084651.403,308.3463412722992
42,DENIS-P J142527.97-365023.4 [de],38,3.987218617199999e+28,94369729.212,298.80704526170723
43,2MASS J05012406-0010452 [de],64,3.987218617199999e+28,98659262.358,273.38867657214803
44,2MASSW J2244316+204343,56,2.2784106384e+28,92224962.639,178.78094402431122
45,2MASS J23224684-3133231,56,4.5568212768e+28,99374184.549,307.9647729940028
46,2MASSW J2244316+204343,56,2.2784106384e+28,92224962.639,178.78094402431122
47,2MASS J23224684-3133231,56,4.5568212768e+28,99374184.549,307.9647729940028
48,WISE 0410+1502,20,1.1392053192e+28,83645896.347,108.6673127879525
